,tmpid,designation,ra-hms,dec-dms,v,offset_ra,offset_dec,motion_ra,motion_dec,orbit,comment,id,linkrun,objid,date_obs,ra,dec,expnum,exptime,band,ccd,mag,nite,fakeid,date_added,obscode
0,000466,(380057) 2013 RF81       ,00 06 58.4 ,+02 00 32  ,19.8   ,3.3W   ,2.9N    ,30-    ,13-  ,  7o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3236284,2013-09-30 03:35:49,0:07:11.53,1:57:39.0,239653,90.0,r,57,21.9701004028,20130929,0,2016-02-21 02:18:07,807
1,000466,(104635) 2000 GD117      ,00 06 58.2 ,+02 04 12  ,19.1   ,3.3W   ,6.6N    ,28-    ,14-  , 13o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3236284,2013-09-30 03:35:49,0:07:11.53,1:57:39.0,239653,90.0,r,57,21.9701004028,20130929,0,2016-02-21 02:18:07,807
2,000466,(164150) 2003 YF119      ,00 06 50.0 ,+02 03 45  ,19.7   ,5.4W   ,6.1N    ,27-    , 9-  , 13o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3236284,2013-09-30 03:35:49,0:07:11.53,1:57:39.0,239653,90.0,r,57,21.9701004028,20130929,0,2016-02-21 02:18:07,807
3,000467,(380057) 2013 RF81       ,00 06 58.3 ,+02 00 32  ,19.8   ,3.3W   ,2.9N    ,30-    ,13-  ,  7o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3421663,2013-09-30 03:37:56,0:07:11.52,1:57:38.8,239654,90.0,i,57,21.4279994965,20130929,0,2016-02-21 02:18:07,807
4,000467,(104635) 2000 GD117      ,00 06 58.2 ,+02 04 12  ,19.1   ,3.3W   ,6.5N    ,28-    ,14-  , 13o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3421663,2013-09-30 03:37:56,0:07:11.52,1:57:38.8,239654,90.0,i,57,21.4279994965,20130929,0,2016-02-21 02:18:07,807
5,000467,(164150) 2003 YF119      ,00 06 49.9 ,+02 03 45  ,19.7   ,5.4W   ,6.1N    ,27-    , 9-  , 13o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3421663,2013-09-30 03:37:56,0:07:11.52,1:57:38.8,239654,90.0,i,57,21.4279994965,20130929,0,2016-02-21 02:18:07,807
6,000469, (14077) Volfango        ,00 06 27.8 ,+01 44 06  ,18.5   ,2.3E   ,7.5S    ,25-    , 7-  , 17o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,2650864,2013-10-13 02:09:40,0:06:18.73,1:51:34.1,243496,90.0,z,14,21.1375999451,20131012,0,2016-02-21 02:18:07,807
7,000469, (91070) 1998 FO71       ,00 05 55.7 ,+01 44 03  ,17.9   ,5.7W   ,7.5S    ,23-    ,22-  , 12o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,2650864,2013-10-13 02:09:40,0:06:18.73,1:51:34.1,243496,90.0,z,14,21.1375999451,20131012,0,2016-02-21 02:18:07,807
8,000470, (14077) Volfango        ,00 06 26.7 ,+01 44 01  ,18.5   ,2.0E   ,7.5S    ,25-    , 7-  , 17o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3662174,2013-10-13 02:46:38,0:06:18.62,1:51:33.3,243514,90.0,i,14,21.579498291,20131012,0,2016-02-21 02:18:07,807
9,000470, (91070) 1998 FO71       ,00 05 54.7 ,+01 43 49  ,17.9   ,6.0W   ,7.7S    ,23-    ,22-  , 12o  ,None needed at this time.,03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,3662174,2013-10-13 02:46:38,0:06:18.62,1:51:33.3,243514,90.0,i,14,21.579498291,20131012,0,2016-02-21 02:18:07,807
