id,linkrun,chisq,ndof,a,e,i,aop,node,peri_jd,peri_date,epoch_jd,mean_anomaly,period,period_err,a_err,e_err,i_err,aop_err,node_err,peri_err,lat0,lon0,xBary,yBary,zBary,abg_a,abg_b,abg_g,abg_adot,abg_bdot,abg_gdot,abg_a_err,abg_b_err,abg_g_err,abg_adot_err,abg_bdot_err,abg_gdot_err
adaf0cb6-4654-485d-b48e-fc522ffe4c0c,wsdiff_S82_lon_gt_minus2,1.79,5,59.054,0.1588,1.6938,80.01,232.877,2440594.03,25574.03480248945,2456565.65,34.711521959675274,453.806,275.962,23.94,0.7471,0.2099,354.78,9.377,109062.02,0.0241,-0.0046,-0.1233,0.024,-0.9937,1.491915551459221e-05,1.7375531017934766e-07,0.01962897552997776,0.018029591802859603,-0.0003205029158088146,0.0018446559924812555,3.8250920075854467e-06,5.0039962245459518e-07,0.00076365293393350819,0.0046704348479649207,3.4665091902910101e-05,0.01909562008706684
c27a9635-c894-4e3b-bb02-99ed64eb28bb,wsdiff_S82_lon_gt_minus2,2.46,7,62.092,0.5404,4.6758,103.65,202.657,2448535.96,33515.95675588073,2456565.65,16.185862701672082,489.281,315.769,26.72,0.3227,0.2299,33.06,0.981,2309.95,0.0277,0.0583,-0.0607,0.0278,-0.9994,1.8971620606463757e-05,-1.3813798651495002e-06,0.030319612835162844,0.037108362722256275,-0.002872016648470124,0.012970501907403224,1.1573423034598092e-06,4.5746676373602069e-07,0.0002997254746343451,0.0019058186304664812,2.2792240173030242e-05,0.013077762896628757
33425c7e-fcdc-4eed-958f-a78b84a35955,wsdiff_S82_lon_gt_minus2,1.77,3,53.19,0.0377,7.8244,65.02,1.63,2479715.46,64695.456400697585,2456565.66,301.14386433555438,387.927,298.654,27.3,4.496,2.7177,3927.67,0.822,1322034.24,0.0057,0.0685,-0.0506,0.0059,-1.0003,1.3672610110313543e-05,1.2169891089178206e-06,0.01952757342345083,0.016978318195081513,0.0023313290425672974,-0.000580696214847619,4.977777597100392e-06,5.0188529261445488e-07,0.0010073200394421992,0.0060973405692939572,2.3776290787848232e-05,0.0868991052144968
93779691-b075-4563-8972-d2cbfab04b5a,wsdiff_S82_lon_gt_minus2,2.85,9,48.286,0.0981,18.7796,250.64,186.237,2478958.75,63938.749630369246,2456565.63,294.17734152946696,335.532,145.13,13.92,0.9007,1.5756,52.9,0.507,7616.34,0.0339,0.0087,-0.1098,0.0339,-0.995,1.396753931448368e-05,-4.648535443177144e-06,0.021853297864587222,0.019246575822263298,-0.006508011286009652,-0.001946300832381976,1.3311026927655347e-06,4.7187334303150238e-07,0.00026263437300670851,0.0016645592436737718,3.1173248646777207e-05,0.017737050846832469
dd429e11-a543-4e27-b609-1791e68631bb,wsdiff_S82_lon_gt_minus2,2.21,5,68.725,0.3933,2.6111,45.05,304.258,2453822.43,38802.426971025765,2456577.62,4.7695108837892235,569.736,180.595,14.52,0.1536,0.0216,102.25,0.716,23333.9,0.0391,0.0126,-0.3067,0.0372,-0.9487,1.819954737885671e-05,3.719139289721799e-07,0.024390076457847427,0.02786445778809524,0.0007000093062545348,0.0014232233060722768,1.8062346622445656e-06,3.6707422373617411e-07,0.00041814957610859717,0.0022364111598241082,5.6752678327896289e-05,0.014064749525750982
2ec1cf1f-f437-4b01-a5e5-a6f3bb6e8bb7,wsdiff_S82_lon_gt_minus2,0.84,1,44.84,0.4086,12.6852,284.98,188.926,2476626.97,61606.97411730699,2456565.63,294.1042230083533,300.26,234.408,23.34,0.5991,3.8895,53.52,2.645,14968.61,0.0332,0.0086,-0.11,0.0331,-0.995,1.3271295762741406e-05,-3.029829160924604e-06,0.02292398065342566,0.019249672139043987,-0.00428193447830317,-0.008888634663136417,4.2965676951069768e-06,7.0777655804817162e-07,0.00099167771341549817,0.0060242492330100138,5.3678762673221625e-05,0.014272351652777068
845c87d1-879e-4a26-af79-aafbf6d5bd9e,wsdiff_S82_lon_gt_minus2,1.94,3,60.307,0.6026,34.2422,303.84,181.345,2482305.71,67285.71259188885,2456565.65,305.79280546275874,468.325,361.712,31.05,0.7394,34.7643,64.8,2.376,16313.41,0.0219,-0.0103,-0.129,0.0218,-0.9931,8.933489721540146e-06,-5.378404847668267e-06,0.017092584045370535,0.009237516212187004,-0.006291891528762426,-0.008472777268536298,1.1135263296754126e-05,5.0360384847971046e-07,0.0019824337453865815,0.012000329112474598,6.9077216795966287e-05,0.0096549155516527964
9eb058ac-3b5a-40b1-85e7-4f35c5b5b03b,wsdiff_S82_lon_gt_minus2,1.39,7,50.515,0.0843,2.98,318.04,345.187,2438756.16,23736.15977095673,2456576.62,48.953176622649387,359.032,97.855,9.18,1.5719,0.4909,907.89,2.475,248627.31,0.0135,-0.0071,-0.3091,0.013,-0.9489,1.4725455802695265e-05,3.7791492691467737e-07,0.021281014802826227,0.01974903747637637,0.000994963897309998,0.001204906841125238,3.0333800898948934e-06,3.4590884391076963e-07,0.00062181425317743956,0.0035826097578845056,3.0675169514341807e-05,0.038633496541207957
de3d0258-2864-43d4-a6ed-3adbce048cb7,wsdiff_S82_lon_gt_minus2,0.62,3,37.541,0.2185,14.9474,241.06,18.123,2439067.72,24047.71753442008,2456569.73,75.044314711552659,230.02,57.497,6.26,0.4837,0.637,8.48,0.835,10472.62,-0.0851,-0.0053,-0.1931,-0.0833,-0.978,1.5266948298328798e-05,3.5983416930241115e-06,0.027614832791846664,0.027096006155119458,0.006844189938782451,0.006087920086466175,8.4394725643407737e-07,4.9237407172332284e-07,0.00018114253527862445,0.0011301118127893383,6.589951992481868e-05,0.014103594406700849
af2ac6a1-298c-4e13-b241-e0afe7a73e0b,wsdiff_S82_lon_gt_minus2,3.55,7,44.69,0.2556,11.7918,82.37,184.535,2437580.96,22560.957678887993,2456565.65,62.674136211879826,298.751,198.258,19.77,1.2584,3.7258,95.82,1.862,16220.6,0.0212,-0.0237,-0.1423,0.0212,-0.9913,1.5570730629525076e-05,-3.5456407171520413e-06,0.02432083324765457,0.022999567250317807,-0.004773775346524026,0.00596503758233343,4.813887281157951e-06,5.0270744434443258e-07,0.0011923376230667875,0.0073033310801661217,4.9540484213281359e-05,0.030314603105465125
