,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
0,3236284,03d62ca5-cf6b-48a2-acec-089ec341d0f0,0:07:11.53,1:57:39.0,21.9701004028,(380057) 2013 RF81       ,00 06 58.4 ,+02 00 32  ,19.8   ,3.3W   ,2.9N    ,30-    ,13-  ,  7o  ,None needed at this time.,0.00127046873339
1,3421663,03d62ca5-cf6b-48a2-acec-089ec341d0f0,0:07:11.52,1:57:38.8,21.4279994965,(380057) 2013 RF81       ,00 06 58.3 ,+02 00 32  ,19.8   ,3.3W   ,2.9N    ,30-    ,13-  ,  7o  ,None needed at this time.,0.00127602699989
2,2076644,03d62ca5-cf6b-48a2-acec-089ec341d0f0,0:06:26.54,1:52:28.4,21.1749992371,         2014 WX381      ,00 06 19.9 ,+01 55 52  ,20.8   ,1.7W   ,3.4N    ,29-    , 4-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (121.6,-16.5,21.3)",0.00109874420762
3,2076644,03d62ca5-cf6b-48a2-acec-089ec341d0f0,0:06:26.54,1:52:28.4,21.1749992371, (58377) 1995 SC26       ,00 06 23.3 ,+01 57 19  ,20.2   ,0.8W   ,4.8N    ,30-    ,12-  , 13o  ,None needed at this time.,0.00142841350395
4,3662174,03d62ca5-cf6b-48a2-acec-089ec341d0f0,0:06:18.62,1:51:33.3,21.579498291,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
5,3333059,04574171-ff3f-4806-b45a-8316af82ef47,0:00:05.73,1:53:58.1,22.1507987976, (79673) 1998 SG44       ,00 00 01.5 ,+01 55 43  ,19.1   ,1.1W   ,1.7N    ,26-    , 2-  , 11o  ,None needed at this time.,0.000594276004548
6,3757978,04574171-ff3f-4806-b45a-8316af82ef47,0:00:05.47,1:53:56.7,22.8374996185, (79673) 1998 SG44       ,23 59 58.8 ,+01 55 36  ,19.1   ,1.7W   ,1.7N    ,26-    , 2-  , 11o  ,None needed at this time.,0.000683214794575
7,3790909,04574171-ff3f-4806-b45a-8316af82ef47,23:58:20.07,1:44:06.7,23.1812000275,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
8,3418219,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,23:55:52.48,2:12:11.9,21.8476982117,         2015 AA233      ,23 55 42.9 ,+02 14 40  ,22.0   ,2.4W   ,2.5N    ,26-    ,15-  ,   o  ,Leave for survey recovery.,0.0010000826759
9,3418219,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,23:55:52.48,2:12:11.9,21.8476982117, (27602) Chaselewis      ,23 56 05.8 ,+02 09 19  ,19.5   ,3.3E   ,2.9S    ,28-    ,14-  , 13o  ,None needed at this time.,0.00128046555314
